Date,BERNALILLO,CATRON,CHAVES,CIBOLA,COLFAX,CURRY,DEBACA,DONA ANA,EDDY,GRANT,GUADALUPE,HARDING,HIDALGO,LEA,LINCOLN,LOS ALAMOS,LUNA,MCKINLEY,MORA,OTERO,QUAY,RIO ARRIBA,ROOSEVELT,SANDOVAL,SAN JUAN,SAN MIGUEL,SANTA FE,SIERRA,SOCORRO,TAOS,TORRANCE,UNION,VALENCIA
,35001,35003,35005,35006,35007,35009,35011,35013,35015,35017,35019,35021,35023,35025,35027,35028,35029,35031,35033,35035,35037,35039,35041,35043,35045,35047,35049,35051,35053,35055,35057,35059,35061
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
2020-03-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2020-03-18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2020-03-19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
2020-03-20,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
2020-03-21,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2020-03-22,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
2020-03-23,4,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
2020-03-24,5,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0
2020-03-25,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,0,0,0,0,0,0
2020-03-26,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,5,0,0,0,0,0,0
2020-03-27,27,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,1,5,3,0,7,0,0,5,0,0,1
2020-03-28,11,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
2020-03-29,8,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,-1,0,3,4,0,4,0,0,0,0,0,1
2020-03-30,16,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,5,5,0,4,0,1,1,3,0,3
2020-03-31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,6,5,0,4,0,0,1,0,0,0
2020-04-01,19,1,0,2,0,2,0,3,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,3,5,0,6,0,0,1,0,0,0
2020-04-02,15,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,8,4,0,0,0,1,1,0,0,0
2020-04-03,39,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,26,9,0,4,0,0,0,0,0,0
2020-04-04,23,0,0,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,8,0,6,0,0,0,3,0,0
2020-04-05,21,0,0,2,0,0,0,6,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,34,0,0,4,0,1,0,0,0,2
2020-04-06,16,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,11,25,0,2,0,0,0,0,0,0
2020-04-07,45,0,1,1,0,2,0,5,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,14,24,0,2,0,0,1,1,0,0
2020-04-08,18,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,15,0,0,0,1,0,15,9,0,2,0,2,0,0,0,1
2020-04-09,44,0,2,5,1,1,0,5,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,31,10,0,2,0,2,1,1,0,3
2020-04-10,38,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,2,29,0,0,0,0,0,3,16,0,2,0,1,0,1,0,3
2020-04-11,15,0,1,1,0,0,0,5,0,1,0,0,0,0,0,0,0,27,0,0,1,0,0,22,7,0,2,0,1,0,0,0,1
2020-04-12,18,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,4,0,1,0,0,0,36,2,0,1,0,1,0,1,0,3
2020-04-13,15,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,47,0,-1,0,0,0,9,22,0,1,0,2,0,0,0,2
2020-04-14,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,3,0,9,19,1,0,0,1,0,2,0,1
2020-04-15,13,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,38,0,0,0,0,0,9,8,0,2,0,1,0,0,0,0
2020-04-16,14,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,1,23,0,0,0,0,0,31,29,0,1,0,4,0,0,0,3
2020-04-17,23,0,2,2,1,0,0,7,2,1,0,0,0,0,0,0,0,51,0,0,0,0,0,8,14,0,1,0,0,0,0,0,2
2020-04-18,13,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,40,0,0,1,0,0,10,17,0,2,0,0,0,0,0,0
2020-04-19,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,15,0,1,0,0,0,0,0,3
2020-04-20,24,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,53,0,0,1,1,0,2,18,0,3,0,11,1,1,0,4
2020-04-21,19,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,44,0,0,0,0,0,5,21,0,2,0,3,0,0,0,1
2020-04-22,15,0,0,0,0,0,0,6,1,0,1,0,0,3,0,0,0,59,0,0,0,0,3,19,25,0,5,0,0,0,0,0,1
2020-04-23,31,0,1,3,0,0,0,6,0,0,1,1,0,3,0,0,0,54,0,2,1,0,0,4,51,0,3,0,4,1,0,0,3
2020-04-24,20,0,0,0,0,0,0,6,0,0,4,0,0,2,0,0,0,66,0,0,0,1,0,12,30,0,0,0,1,0,0,0,3
2020-04-25,19,0,0,1,0,1,0,16,0,0,5,0,0,0,0,0,0,69,0,0,0,0,2,8,15,0,0,0,1,0,0,1,0
2020-04-26,18,0,0,2,0,2,0,6,2,0,1,0,0,0,0,0,0,12,0,0,0,2,1,9,7,0,0,0,0,0,1,2,1
2020-04-27,6,0,0,0,0,-1,0,10,-1,0,0,0,0,0,0,0,0,58,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0
2020-04-28,44,0,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,42,0,0,0,0,1,5,45,0,2,0,1,0,1,0,0
2020-04-29,27,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,133,0,0,0,0,0,2,68,0,0,1,1,0,0,0,2
2020-04-30,46,0,0,5,0,4,0,14,0,0,0,0,0,0,0,0,1,74,0,0,0,0,1,4,45,0,2,0,0,1,0,0,1
2020-05-01,19,0,1,11,0,0,0,3,0,0,0,0,0,0,0,0,0,37,0,0,0,4,0,7,16,0,0,0,1,1,0,0,2
2020-05-02,53,0,0,0,0,1,0,6,1,1,0,0,0,2,0,0,1,52,0,1,0,4,0,14,73,0,7,0,0,0,1,0,2
2020-05-03,37,0,0,5,0,0,0,6,0,1,1,0,0,0,0,0,1,28,0,0,0,2,1,6,26,0,0,0,2,1,0,0,1
2020-05-04,24,0,1,1,0,1,0,11,0,-1,0,0,0,0,0,0,0,89,0,2,0,0,0,5,45,0,1,0,1,0,0,0,0
2020-05-05,19,0,1,5,0,1,0,3,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,5,25,1,0,0,2,0,1,0,3
2020-05-06,18,1,0,8,0,3,0,7,0,0,0,0,0,2,0,0,0,63,0,1,0,0,1,6,38,1,2,0,0,0,0,0,2
2020-05-07,31,0,1,0,0,3,0,17,0,0,0,0,0,0,0,0,0,65,0,0,0,2,0,7,77,0,0,0,0,0,0,0,-1
2020-05-08,18,0,1,3,0,2,0,9,1,0,0,0,0,0,0,0,0,58,0,6,0,1,0,12,68,1,0,0,0,0,0,0,1
2020-05-09,20,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,1,26,1,0,0,0,0,1,0,0
2020-05-10,23,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,14,0,1,0,0,0,6,19,0,1,0,0,0,0,0,0
2020-05-11,13,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,1,63,0,15,0,1,0,9,73,1,1,0,1,0,0,0,2
2020-05-12,25,0,1,3,0,1,0,0,0,0,2,0,0,0,0,0,0,43,0,15,1,0,1,7,42,0,0,0,0,1,1,0,0
2020-05-13,13,0,2,6,0,2,0,4,0,0,0,0,0,0,0,0,0,53,0,10,0,0,1,3,54,0,1,0,0,1,0,0,2
2020-05-14,25,0,0,7,0,0,0,10,3,1,0,0,0,0,0,0,0,49,0,4,0,2,1,2,34,0,0,0,0,0,0,0,1
2020-05-15,31,0,0,0,0,2,0,11,0,0,2,0,0,0,0,0,0,57,0,8,0,0,0,4,37,2,1,0,0,1,0,0,3
2020-05-16,14,0,0,1,0,4,0,12,0,0,0,0,0,0,1,0,0,77,0,7,0,1,12,5,42,1,8,0,0,-1,0,0,1
2020-05-17,16,0,0,1,0,1,0,12,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,5,28,0,1,0,0,0,0,0,2
2020-05-18,8,0,1,1,0,0,0,15,0,0,0,0,1,2,0,0,0,65,0,24,0,2,1,2,32,0,1,0,0,1,0,0,2
2020-05-19,7,0,0,5,0,2,0,10,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,3,32,0,2,0,0,-1,1,0,1
2020-05-20,29,0,1,3,0,1,0,3,0,0,0,0,0,0,0,0,0,22,0,19,0,0,-1,22,24,0,1,0,0,0,0,0,1
2020-05-21,19,0,2,2,0,0,0,40,0,0,0,0,0,3,0,0,0,35,0,0,0,3,0,8,19,0,0,0,0,0,0,0,0
2020-05-22,40,0,1,9,0,1,0,8,0,0,0,0,0,0,0,0,0,42,0,28,0,0,5,1,39,0,2,0,0,0,0,0,1
2020-05-23,13,0,1,0,0,1,0,21,0,0,0,0,0,2,0,0,0,42,0,37,0,0,2,5,43,1,1,0,0,1,1,0,-1
2020-05-24,11,0,3,7,0,0,0,16,1,0,0,0,0,0,0,0,0,64,0,3,0,1,1,9,25,0,2,0,0,1,1,0,3
2020-05-25,10,0,1,0,0,0,0,16,1,0,0,0,0,1,0,0,-1,23,0,0,0,0,2,1,23,4,1,0,0,0,0,0,0
2020-05-26,15,0,2,1,0,3,0,5,0,-1,1,0,0,0,-1,0,0,21,0,6,0,0,0,2,24,0,0,0,0,0,26,0,1
2020-05-27,21,0,0,4,0,1,0,11,0,0,0,0,0,0,0,0,0,34,0,2,0,1,1,5,37,-1,4,0,0,0,2,0,0
2020-05-28,51,0,0,2,0,1,0,3,2,0,0,0,0,0,0,0,0,21,0,2,0,3,0,5,20,0,1,0,1,0,0,0,0
2020-05-29,11,0,2,3,0,1,0,7,-1,0,0,0,0,2,0,0,1,57,0,8,0,2,0,3,30,1,-1,0,0,1,0,1,1
2020-05-30,19,0,1,2,0,-1,0,11,0,0,0,0,0,0,0,0,0,58,0,7,0,1,1,7,23,0,3,0,0,0,0,0,-1
2020-05-31,12,0,2,2,0,1,0,6,2,0,0,0,0,0,0,0,0,9,0,4,0,3,2,2,18,0,2,0,0,-1,0,0,1
2020-06-01,10,0,3,0,0,1,0,10,2,0,0,0,0,0,0,0,0,36,0,0,0,1,2,0,38,0,2,0,1,5,0,0,0
2020-06-02,13,0,1,2,0,2,0,3,-1,0,0,0,0,0,2,0,1,29,0,116,0,1,-1,4,42,0,5,0,1,1,0,0,3
2020-06-03,25,0,-1,2,0,1,0,9,0,0,0,0,0,0,1,0,1,35,0,25,0,3,0,3,8,0,2,0,0,0,0,0,2
2020-06-04,19,0,1,1,0,1,0,21,3,0,0,0,0,0,0,0,-1,27,0,111,0,0,1,3,21,0,0,0,2,1,1,0,1
2020-06-05,16,0,-1,4,0,5,0,26,2,0,0,0,0,3,0,0,2,75,0,130,0,2,0,1,51,0,0,0,0,0,1,1,1
2020-06-06,16,0,-1,7,0,0,0,23,2,0,0,0,0,0,0,0,0,40,0,3,0,0,0,6,30,0,0,0,1,0,1,0,0
2020-06-07,17,0,0,7,0,0,0,12,5,0,0,0,0,0,0,0,1,37,0,1,0,0,0,12,43,0,5,0,0,0,0,0,0
2020-06-08,8,0,0,2,0,2,0,17,3,0,0,0,0,3,0,0,0,52,0,0,0,3,3,3,24,1,0,0,0,0,0,0,0
2020-06-09,12,0,-1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,11,0,3,-1,0,0,4,9,0,3,0,0,0,0,0,0
2020-06-10,11,0,2,1,1,4,0,26,4,0,0,0,0,1,0,0,0,50,0,0,0,2,1,0,35,0,2,2,0,0,0,0,3
2020-06-11,29,0,2,3,0,0,0,17,3,1,0,0,0,1,0,0,8,15,0,19,0,1,5,3,9,0,1,0,0,0,-1,0,2
2020-06-12,17,0,1,8,-1,3,0,5,1,1,0,0,1,3,0,0,1,48,0,21,0,0,2,2,38,0,4,0,0,1,1,0,1
2020-06-13,13,0,3,3,2,6,0,8,0,-1,0,0,1,3,0,0,6,26,0,10,0,0,0,7,2,0,5,1,0,0,0,0,0
2020-06-14,11,0,3,1,0,4,0,13,1,0,0,0,0,1,1,1,1,16,0,-1,0,0,0,14,15,0,0,0,0,0,0,0,2
2020-06-15,12,0,0,1,1,2,0,-1,0,0,0,0,17,2,0,0,2,24,0,44,0,-1,0,4,25,0,3,0,0,1,5,0,0
2020-06-16,28,0,0,1,0,6,0,2,1,0,0,0,3,5,0,0,3,13,0,3,0,0,0,8,6,0,5,0,0,0,0,0,4
2020-06-17,19,0,2,0,0,3,0,17,0,0,0,0,0,6,0,0,0,19,0,39,0,2,0,9,11,0,4,0,0,0,0,0,1
2020-06-18,11,0,0,2,0,5,0,9,1,0,0,0,0,0,1,0,12,19,0,3,1,5,1,5,8,2,2,1,0,0,0,0,0
2020-06-19,14,0,3,6,0,4,0,7,0,0,0,0,3,3,0,0,3,22,0,7,0,7,0,6,17,0,4,0,0,0,0,0,1
2020-06-20,15,0,0,0,1,7,0,8,2,0,0,0,0,8,0,0,2,32,0,64,0,6,-1,10,8,0,5,0,0,0,2,0,1
2020-06-21,13,0,0,2,0,2,0,18,2,1,0,0,2,1,0,0,5,32,0,-1,0,0,0,3,10,0,3,0,1,0,0,0,0
2020-06-22,23,0,2,1,0,1,0,16,3,0,0,0,11,8,0,0,1,32,0,42,0,0,1,6,11,0,5,2,2,2,0,0,1
2020-06-23,20,0,-1,1,0,4,0,6,2,0,0,0,0,4,0,0,2,50,0,0,0,3,-1,4,41,0,1,0,0,0,2,0,0
2020-06-24,31,0,4,2,0,8,0,20,3,0,0,0,0,7,1,0,0,24,0,15,0,4,1,8,15,0,1,0,0,2,10,1,1
2020-06-25,58,0,2,4,0,2,0,46,2,0,0,0,1,3,1,0,6,36,0,2,0,3,1,8,18,0,3,2,1,0,2,0,1
2020-06-26,50,0,8,2,0,7,0,36,-1,0,0,0,-1,5,2,0,1,72,0,1,1,2,0,5,8,2,4,2,0,1,-1,1,2
2020-06-27,34,0,0,1,0,4,0,26,4,1,0,0,7,6,0,0,3,22,0,0,0,2,0,7,81,0,8,1,0,1,0,0,3
2020-06-28,43,0,4,4,0,6,0,27,3,0,0,0,0,6,0,1,5,27,0,14,0,0,2,3,35,1,10,0,0,1,1,0,4
2020-06-29,45,0,6,0,0,11,0,34,9,0,0,0,3,7,0,0,4,11,0,3,0,3,0,4,13,0,6,0,1,0,1,0,12
2020-06-30,34,0,5,1,0,10,0,20,2,0,0,0,0,19,0,0,2,28,0,6,0,2,2,8,17,0,3,-1,0,2,0,0,5
2020-07-01,35,0,1,0,0,2,0,8,2,1,0,0,0,2,0,0,1,20,0,3,0,3,0,3,38,0,3,1,0,1,0,1,4
2020-07-02,99,0,5,2,1,17,0,42,2,1,0,0,5,8,1,0,2,13,0,2,0,4,3,9,12,1,6,1,0,0,0,0,8
2020-07-03,54,0,5,7,0,4,0,40,8,1,0,0,0,5,1,0,11,42,0,11,0,1,6,13,22,0,7,0,0,3,11,0,4
2020-07-04,79,0,7,10,0,4,0,55,10,1,0,0,4,25,0,0,4,33,0,8,0,0,2,8,21,0,6,1,0,2,3,0,4
2020-07-05,61,0,8,2,-1,3,0,34,1,2,0,0,1,15,0,0,4,19,0,0,0,0,1,0,27,0,8,0,0,0,2,0,6
2020-07-06,60,0,7,8,0,6,0,83,1,0,0,0,1,17,1,1,3,12,0,4,1,4,1,8,18,0,8,0,1,1,0,0,5
2020-07-07,87,0,6,1,0,2,0,22,3,0,0,0,1,7,0,2,8,11,0,4,1,9,2,7,34,1,8,0,0,0,0,0,4
2020-07-08,99,0,14,1,0,6,0,52,9,3,0,0,1,12,2,0,1,23,0,7,1,5,0,17,18,0,10,0,0,2,-1,0,8
2020-07-09,99,0,4,1,0,20,0,21,6,2,0,0,2,7,2,0,0,19,0,3,3,4,2,9,16,0,9,0,0,0,0,0,5
2020-07-10,70,0,7,1,0,8,0,44,3,1,0,0,8,32,1,0,2,33,1,5,0,8,2,11,31,2,20,0,1,0,0,0,7
2020-07-11,80,1,2,2,0,12,0,28,13,2,0,0,0,7,3,0,7,14,1,2,2,1,0,8,28,0,6,0,1,1,0,0,3
2020-07-12,110,0,2,2,0,4,0,26,2,1,0,0,0,11,2,1,0,20,1,4,2,2,1,17,24,1,9,0,1,1,2,0,9
2020-07-13,58,0,17,2,0,11,0,83,4,2,0,0,2,5,0,0,6,23,0,2,0,0,0,9,20,1,4,2,2,4,0,0,6
2020-07-14,66,0,5,2,0,5,0,49,6,6,0,0,1,6,1,1,4,22,-1,4,1,1,2,6,11,1,11,0,-1,2,0,6,6
2020-07-15,162,0,2,3,1,4,0,35,4,3,0,0,0,8,4,0,1,10,0,2,2,7,2,14,24,0,28,1,0,2,0,0,8
2020-07-16,102,1,2,3,0,11,0,39,13,2,4,0,1,23,3,1,2,20,0,5,0,9,0,16,16,1,9,0,-1,4,0,0,11
2020-07-17,114,0,1,0,1,9,0,35,1,1,0,0,1,11,0,0,5,15,1,7,3,37,1,12,26,1,7,0,-1,4,0,0,26
2020-07-18,101,0,8,0,0,10,0,43,5,0,0,0,1,10,2,0,4,19,0,7,0,2,2,10,21,1,11,2,1,0,1,0,19
